Name,Source,HitDice,Proficiency,StartingProficiencies,StartingEquipment,ClassFeatures,Multiclassing
Cleric,PHB,8,"[""wis"", ""cha""]","{""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple""], ""skills"": [{""choose"": {""from"": [""history"", ""insight"", ""medicine"", ""persuasion"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item mace|phb} or (b) a {@item warhammer|phb} (if proficient)"", ""(a) {@item scale mail|phb}, (b) {@item leather armor|phb}, or (c) {@item chain mail|phb} (if proficient)"", ""(a) a {@item light crossbow|phb} and {@item Crossbow Bolts (20)|phb|20 bolts} or (b) any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}"", ""(a) a {@item priest's pack|phb} or (b) an {@item explorer's pack|phb}"", ""A {@item shield|phb} and a {@item holy symbol|phb}""], ""goldAlternative"": ""{@dice 5d4 × 10|5d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""mace|phb""], ""b"": [""warhammer|phb""]}, {""a"": [""scale mail|phb""], ""b"": [""leather armor|phb""], ""c"": [""chain mail|phb""]}, {""a"": [""light crossbow|phb"", ""crossbow bolts (20)|phb""], ""b"": [{""equipmentType"": ""weaponSimple""}]}, {""a"": [""priest's pack|phb""], ""b"": [""explorer's pack|phb""]}, {""_"": [""shield|phb"", {""equipmentType"": ""focusSpellcastingHoly""}]}]}","[""Spellcasting|Cleric||1"", {""classFeature"": ""Divine Domain|Cleric||1"", ""gainSubclassFeature"": true}, {""classFeature"": ""Channel Divinity|Cleric||2"", ""tableDisplayName"": ""Channel Divinity (1/rest)""}, ""Channel Divinity: Harness Divine Power|Cleric||2|TCE"", {""classFeature"": ""Divine Domain feature|Cleric||2"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Cleric||4"", ""Cantrip Versatility|Cleric||4|TCE"", ""Destroy Undead (CR 1/2)|Cleric||5"", {""classFeature"": ""Channel Divinity|Cleric||6"", ""tableDisplayName"": ""Channel Divinity (2/rest)""}, {""classFeature"": ""Divine Domain feature|Cleric||6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Cleric||8"", ""Destroy Undead (CR 1)|Cleric||8"", {""classFeature"": ""Divine Domain feature|Cleric||8"", ""gainSubclassFeature"": true}, ""Divine Intervention|Cleric||10"", ""Destroy Undead (CR 2)|Cleric||11"", ""Ability Score Improvement|Cleric||12"", ""Destroy Undead (CR 3)|Cleric||14"", ""Ability Score Improvement|Cleric||16"", ""Destroy Undead (CR 4)|Cleric||17"", {""classFeature"": ""Divine Domain feature|Cleric||17"", ""gainSubclassFeature"": true}, {""classFeature"": ""Channel Divinity|Cleric||18"", ""tableDisplayName"": ""Channel Divinity (3/rest)""}, ""Ability Score Improvement|Cleric||19"", ""Divine Intervention Improvement|Cleric||20""]","{""requirements"": {""wis"": 13}, ""proficienciesGained"": {""armor"": [""light"", ""medium"", ""shield""]}}"
Barbarian,PHB,12,"[""str"", ""con""]","{""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple"", ""martial""], ""skills"": [{""choose"": {""from"": [""animal handling"", ""athletics"", ""intimidation"", ""nature"", ""perception"", ""survival""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item greataxe|phb} or (b) any {@filter martial melee weapon|items|source=phb|category=basic|type=martial weapon;melee weapon=sand}"", ""(a) two {@item handaxe|phb|handaxes} or (b) any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}"", ""An {@item explorer's pack|phb}, and four {@item javelin|phb|javelins}""], ""goldAlternative"": ""{@dice 2d4 × 10|2d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""greataxe|phb""], ""b"": [{""equipmentType"": ""weaponMartialMelee""}]}, {""a"": [{""item"": ""handaxe|phb"", ""quantity"": 2}], ""b"": [{""equipmentType"": ""weaponSimple""}]}, {""_"": [""explorer's pack|phb"", {""item"": ""javelin|phb"", ""quantity"": 4}]}]}","[""Rage|Barbarian||1"", ""Unarmored Defense|Barbarian||1"", ""Danger Sense|Barbarian||2"", ""Reckless Attack|Barbarian||2"", {""classFeature"": ""Primal Path|Barbarian||3"", ""gainSubclassFeature"": true}, ""Primal Knowledge|Barbarian||3|TCE"", ""Ability Score Improvement|Barbarian||4"", ""Extra Attack|Barbarian||5"", ""Fast Movement|Barbarian||5"", {""classFeature"": ""Path Feature|Barbarian||6"", ""gainSubclassFeature"": true}, ""Feral Instinct|Barbarian||7"", ""Instinctive Pounce|Barbarian||7|TCE"", ""Ability Score Improvement|Barbarian||8"", ""Brutal Critical (1 die)|Barbarian||9"", {""classFeature"": ""Path feature|Barbarian||10"", ""gainSubclassFeature"": true}, ""Relentless Rage|Barbarian||11"", ""Ability Score Improvement|Barbarian||12"", ""Brutal Critical (2 dice)|Barbarian||13"", {""classFeature"": ""Path feature|Barbarian||14"", ""gainSubclassFeature"": true}, ""Persistent Rage|Barbarian||15"", ""Ability Score Improvement|Barbarian||16"", ""Brutal Critical (3 dice)|Barbarian||17"", ""Indomitable Might|Barbarian||18"", ""Ability Score Improvement|Barbarian||19"", ""Primal Champion|Barbarian||20""]","{""requirements"": {""str"": 13}, ""proficienciesGained"": {""armor"": [""shield""], ""weapons"": [""simple"", ""martial""]}}"
Sorcerer,PHB,6,"[""con"", ""cha""]","{""weapons"": [""{@item dagger|phb|daggers}"", ""{@item dart|phb|darts}"", ""{@item sling|phb|slings}"", ""{@item quarterstaff|phb|quarterstaffs}"", ""{@item light crossbow|phb|light crossbows}""], ""skills"": [{""choose"": {""from"": [""arcana"", ""deception"", ""insight"", ""intimidation"", ""persuasion"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item light crossbow|phb} and {@item crossbow bolts (20)|phb|20 bolts} or (b) any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}"", ""(a) a {@item component pouch|phb} or (b) an {@item arcane focus|phb}"", ""(a) a {@item dungeoneer's pack|phb} or (b) an {@item explorer's pack|phb}"", ""Two {@item dagger|phb|daggers}""], ""goldAlternative"": ""{@dice 3d4 × 10|3d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""light crossbow|phb"", ""crossbow bolts (20)|phb""], ""b"": [{""equipmentType"": ""weaponSimple""}]}, {""a"": [""component pouch|phb""], ""b"": [{""equipmentType"": ""focusSpellcastingArcane""}]}, {""a"": [""dungeoneer's pack|phb""], ""b"": [""explorer's pack|phb""]}, {""_"": [{""item"": ""dagger|phb"", ""quantity"": 2}]}]}","[""Spellcasting|Sorcerer||1"", {""classFeature"": ""Sorcerous Origin|Sorcerer||1"", ""gainSubclassFeature"": true}, ""Font of Magic|Sorcerer||2"", ""Metamagic|Sorcerer||3"", ""Metamagic Options|Sorcerer||3|TCE"", ""Ability Score Improvement|Sorcerer||4"", ""Sorcerous Versatility|Sorcerer||4|TCE"", ""Magical Guidance|Sorcerer||5|TCE"", {""classFeature"": ""Sorcerous Origin feature|Sorcerer||6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Sorcerer||8"", ""Metamagic|Sorcerer||10"", ""Ability Score Improvement|Sorcerer||12"", {""classFeature"": ""Sorcerous Origin feature|Sorcerer||14"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Sorcerer||16"", ""Metamagic|Sorcerer||17"", {""classFeature"": ""Sorcerous Origin feature|Sorcerer||18"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Sorcerer||19"", ""Sorcerous Restoration|Sorcerer||20""]","{""requirements"": {""cha"": 13}}"
Bard,PHB,8,"[""dex"", ""cha""]","{""armor"": [""light""], ""weapons"": [""simple"", ""{@item hand crossbow|phb|hand crossbows}"", ""{@item longsword|phb|longswords}"", ""{@item rapier|phb|rapiers}"", ""{@item shortsword|phb|shortswords}""], ""tools"": [""three {@item musical instrument|PHB|musical instruments} of your choice""], ""toolProficiencies"": [{""anyMusicalInstrument"": 3}], ""skills"": [{""any"": 3}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item rapier|phb}, (b) a {@item longsword|phb}, or (c) any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}"", ""(a) a {@item diplomat's pack|phb} or (b) an {@item entertainer's pack|phb}"", ""(a) a {@item lute|phb} or (b) any other {@filter musical instrument|items|miscellaneous=mundane|type=instrument}"", ""{@item Leather armor|phb}, and a {@item dagger|phb}""], ""goldAlternative"": ""{@dice 5d4 × 10|5d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""rapier|phb""], ""b"": [""longsword|phb""], ""c"": [{""equipmentType"": ""weaponSimple""}]}, {""a"": [""diplomat's pack|phb""], ""b"": [""entertainer's pack|phb""]}, {""a"": [""lute|phb""], ""b"": [{""equipmentType"": ""instrumentMusical""}]}, {""_"": [""leather armor|phb"", ""dagger|phb""]}]}","[""Bardic Inspiration|Bard||1"", ""Spellcasting|Bard||1"", ""Jack of All Trades|Bard||2"", ""Song of Rest (d6)|Bard||2"", ""Magical Inspiration|Bard||2|TCE"", {""classFeature"": ""Bard College|Bard||3"", ""gainSubclassFeature"": true}, ""Expertise|Bard||3"", ""Ability Score Improvement|Bard||4"", ""Bardic Versatility|Bard||4|TCE"", ""Bardic Inspiration (d8)|Bard||5"", ""Font of Inspiration|Bard||5"", ""Countercharm|Bard||6"", {""classFeature"": ""Bard College feature|Bard||6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Bard||8"", ""Song of Rest (d8)|Bard||9"", ""Bardic Inspiration (d10)|Bard||10"", ""Expertise|Bard||10"", ""Magical Secrets|Bard||10"", ""Ability Score Improvement|Bard||12"", ""Song of Rest (d10)|Bard||13"", ""Magical Secrets|Bard||14"", {""classFeature"": ""Bard College feature|Bard||14"", ""gainSubclassFeature"": true}, ""Bardic Inspiration (d12)|Bard||15"", ""Ability Score Improvement|Bard||16"", ""Song of Rest (d12)|Bard||17"", ""Magical Secrets|Bard||18"", ""Ability Score Improvement|Bard||19"", ""Superior Inspiration|Bard||20""]","{""requirements"": {""cha"": 13}, ""proficienciesGained"": {""armor"": [""light""], ""skills"": [{""choose"": {""from"": [""athletics"", ""acrobatics"", ""sleight of hand"", ""stealth"", ""arcana"", ""history"", ""investigation"", ""nature"", ""religion"", ""animal handling"", ""insight"", ""medicine"", ""perception"", ""survival"", ""deception"", ""intimidation"", ""performance"", ""persuasion""], ""count"": 1}}], ""tools"": [""one {@item musical instrument|PHB} of your choice""], ""toolProficiencies"": [{""anyMusicalInstrument"": 1}]}}"
Fighter,PHB,10,"[""str"", ""con""]","{""armor"": [""light"", ""medium"", ""heavy"", ""shield""], ""weapons"": [""simple"", ""martial""], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""animal handling"", ""athletics"", ""history"", ""insight"", ""intimidation"", ""perception"", ""survival""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) {@item chain mail|phb} or (b) {@item leather armor|phb}, {@item longbow|phb}, and {@item arrows (20)|phb|20 arrows}"", ""(a) a {@filter martial weapon|items|source=phb|category=basic|type=martial weapon} and a {@item shield|phb} or (b) two {@filter martial weapons|items|source=phb|category=basic|type=martial weapon}"", ""(a) a {@item light crossbow|phb} and {@item crossbow bolts (20)|phb|20 bolts} or (b) two {@item handaxe|phb|handaxes}"", ""(a) a {@item dungeoneer's pack|phb} or (b) an {@item explorer's pack|phb}""], ""goldAlternative"": ""{@dice 5d4 × 10|5d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""chain mail|phb""], ""b"": [""leather armor|phb"", ""longbow|phb"", ""arrows (20)|phb""]}, {""a"": [{""equipmentType"": ""weaponMartial""}, ""shield|phb""], ""b"": [{""equipmentType"": ""weaponMartial"", ""quantity"": 2}]}, {""a"": [""light crossbow|phb"", ""crossbow bolts (20)|phb""], ""b"": [{""item"": ""handaxe|phb"", ""quantity"": 2}]}, {""a"": [""dungeoneer's pack|phb""], ""b"": [""explorer's pack|phb""]}]}","[""Fighting Style|Fighter||1"", ""Second Wind|Fighter||1"", ""Action Surge|Fighter||2"", {""classFeature"": ""Martial Archetype|Fighter||3"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter||4"", ""Martial Versatility|Fighter||4|TCE"", ""Extra Attack|Fighter||5"", ""Ability Score Improvement|Fighter||6"", {""classFeature"": ""Martial Archetype feature|Fighter||7"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter||8"", ""Indomitable|Fighter||9"", {""classFeature"": ""Martial Archetype feature|Fighter||10"", ""gainSubclassFeature"": true}, ""Extra Attack (2)|Fighter||11"", ""Ability Score Improvement|Fighter||12"", ""Indomitable (two uses)|Fighter||13"", ""Ability Score Improvement|Fighter||14"", {""classFeature"": ""Martial Archetype feature|Fighter||15"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter||16"", ""Action Surge (two uses)|Fighter||17"", ""Indomitable (three uses)|Fighter||17"", {""classFeature"": ""Martial Archetype feature|Fighter||18"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Fighter||19"", ""Extra Attack (3)|Fighter||20""]","{""requirements"": {""or"": [{""str"": 13, ""dex"": 13}]}, ""proficienciesGained"": {""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple"", ""martial""]}}"
Wizard,PHB,6,"[""int"", ""wis""]","{""weapons"": [""{@item dagger|phb|daggers}"", ""{@item dart|phb|darts}"", ""{@item sling|phb|slings}"", ""{@item quarterstaff|phb|quarterstaffs}"", ""{@item light crossbow|phb|light crossbows}""], ""skills"": [{""choose"": {""from"": [""arcana"", ""history"", ""insight"", ""investigation"", ""medicine"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item quarterstaff|phb} or (b) a {@item dagger|phb}"", ""(a) a {@item component pouch|phb} or (b) an {@item arcane focus|phb}"", ""(a) a {@item scholar's pack|phb} or (b) an {@item explorer's pack|phb}"", ""A {@item spellbook|phb}""], ""goldAlternative"": ""{@dice 4d4 × 10|4d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""quarterstaff|phb""], ""b"": [""dagger|phb""]}, {""a"": [""component pouch|phb""], ""b"": [{""equipmentType"": ""focusSpellcastingArcane""}]}, {""a"": [""scholar's pack|phb""], ""b"": [""explorer's pack|phb""]}, {""_"": [""spellbook|phb""]}]}","[""Arcane Recovery|Wizard||1"", ""Spellcasting|Wizard||1"", {""classFeature"": ""Arcane Tradition|Wizard||2"", ""gainSubclassFeature"": true}, ""Cantrip Formulas|Wizard||3|TCE"", ""Ability Score Improvement|Wizard||4"", {""classFeature"": ""Arcane Tradition feature|Wizard||6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard||8"", {""classFeature"": ""Arcane Tradition feature|Wizard||10"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard||12"", {""classFeature"": ""Arcane Tradition feature|Wizard||14"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Wizard||16"", ""Spell Mastery|Wizard||18"", ""Ability Score Improvement|Wizard||19"", ""Signature Spells|Wizard||20""]","{""requirements"": {""int"": 13}}"
Monk,PHB,8,"[""str"", ""dex""]","{""weapons"": [""simple"", ""{@item shortsword|phb|shortswords}""], ""tools"": [""any one type of {@item artisan's tools|PHB} or any one {@item musical instrument|PHB} of your choice""], ""toolProficiencies"": [{""anyArtisansTool"": 1}, {""anyMusicalInstrument"": 1}], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""athletics"", ""history"", ""insight"", ""religion"", ""stealth""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item shortsword|phb} or (b) any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}"", ""(a) a {@item dungeoneer's pack|phb} or (b) an {@item explorer's pack|phb}"", ""10 {@item dart|phb|darts}""], ""goldAlternative"": ""{@dice 5d4|5d4|Starting Gold}"", ""defaultData"": [{""a"": [""shortsword|phb""], ""b"": [{""equipmentType"": ""weaponSimple""}]}, {""a"": [""dungeoneer's pack|phb""], ""b"": [""explorer's pack|phb""]}, {""_"": [{""item"": ""dart|phb"", ""quantity"": 10}]}]}","[""Unarmored Defense|Monk||1"", ""Martial Arts|Monk||1"", ""Ki|Monk||2"", ""Dedicated Weapon|Monk||2|TCE"", ""Unarmored Movement|Monk||2"", ""Deflect Missiles|Monk||3"", {""classFeature"": ""Monastic Tradition|Monk||3"", ""gainSubclassFeature"": true}, ""Ki-Fueled Attack|Monk||3|TCE"", ""Ability Score Improvement|Monk||4"", ""Slow Fall|Monk||4"", ""Quickened Healing|Monk||4|TCE"", ""Extra Attack|Monk||5"", ""Stunning Strike|Monk||5"", ""Focused Aim|Monk||5|TCE"", ""Ki-Empowered Strikes|Monk||6"", {""classFeature"": ""Monastic Tradition feature|Monk||6"", ""gainSubclassFeature"": true}, ""Evasion|Monk||7"", ""Stillness of Mind|Monk||7"", ""Ability Score Improvement|Monk||8"", ""Unarmored Movement improvement|Monk||9"", ""Purity of Body|Monk||10"", {""classFeature"": ""Monastic Tradition feature|Monk||11"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Monk||12"", ""Tongue of the Sun and Moon|Monk||13"", ""Diamond Soul|Monk||14"", ""Timeless Body|Monk||15"", ""Ability Score Improvement|Monk||16"", {""classFeature"": ""Monastic Tradition feature|Monk||17"", ""gainSubclassFeature"": true}, ""Empty Body|Monk||18"", ""Ability Score Improvement|Monk||19"", ""Perfect Self|Monk||20""]","{""requirements"": {""dex"": 13, ""wis"": 13}, ""proficienciesGained"": {""weapons"": [""simple"", ""{@item shortsword|phb|shortswords}""]}}"
Rogue,PHB,8,"[""dex"", ""int""]","{""armor"": [""light""], ""weapons"": [""simple"", ""{@item hand crossbow|phb|hand crossbows}"", ""{@item longsword|phb|longswords}"", ""{@item rapier|phb|rapiers}"", ""{@item shortsword|phb|shortswords}""], ""tools"": [""{@item thieves' tools|PHB}""], ""toolProficiencies"": [{""thieves' tools"": true}], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""athletics"", ""deception"", ""insight"", ""intimidation"", ""investigation"", ""perception"", ""performance"", ""persuasion"", ""sleight of hand"", ""stealth""], ""count"": 4}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item rapier|phb} or (b) a {@item shortsword|phb}"", ""(a) a {@item shortbow|phb} and {@item quiver|phb} of {@item arrows (20)|phb|20 arrows} or (b) a {@item shortsword|phb}"", ""(a) a {@item burglar's pack|phb}, (b) a {@item dungeoneer's pack|phb}, or (c) an {@item explorer's pack|phb}"", ""{@item Leather armor|phb}, two {@item dagger|phb|daggers}, and {@item thieves' tools|phb}""], ""goldAlternative"": ""{@dice 4d4 × 10|4d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""rapier|phb""], ""b"": [""shortsword|phb""]}, {""a"": [""shortbow|phb"", ""arrows (20)|phb""], ""b"": [""shortsword|phb""]}, {""a"": [""burglar's pack|phb""], ""b"": [""dungeoneer's pack|phb""], ""c"": [""explorer's pack|phb""]}, {""_"": [""leather armor|phb"", {""item"": ""dagger|phb"", ""quantity"": 2}, ""thieves' tools|phb""]}]}","[""Expertise|Rogue||1"", ""Sneak Attack|Rogue||1"", ""Thieves' Cant|Rogue||1"", ""Cunning Action|Rogue||2"", {""classFeature"": ""Roguish Archetype|Rogue||3"", ""gainSubclassFeature"": true}, ""Steady Aim|Rogue||3|TCE"", ""Ability Score Improvement|Rogue||4"", ""Uncanny Dodge|Rogue||5"", ""Expertise|Rogue||6"", ""Evasion|Rogue||7"", ""Ability Score Improvement|Rogue||8"", {""classFeature"": ""Roguish Archetype feature|Rogue||9"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Rogue||10"", ""Reliable Talent|Rogue||11"", ""Ability Score Improvement|Rogue||12"", {""classFeature"": ""Roguish Archetype feature|Rogue||13"", ""gainSubclassFeature"": true}, ""Blindsense|Rogue||14"", ""Slippery Mind|Rogue||15"", ""Ability Score Improvement|Rogue||16"", {""classFeature"": ""Roguish Archetype feature|Rogue||17"", ""gainSubclassFeature"": true}, ""Elusive|Rogue||18"", ""Ability Score Improvement|Rogue||19"", ""Stroke of Luck|Rogue||20""]","{""requirements"": {""dex"": 13}, ""proficienciesGained"": {""armor"": [""light""], ""skills"": [{""choose"": {""from"": [""acrobatics"", ""athletics"", ""deception"", ""insight"", ""intimidation"", ""investigation"", ""perception"", ""performance"", ""persuasion"", ""sleight of hand"", ""stealth""], ""count"": 1}}], ""tools"": [""{@item thieves' tools|PHB}""], ""toolProficiencies"": [{""thieves' tools"": true}]}}"
Ranger,PHB,10,"[""str"", ""dex""]","{""armor"": [""light"", ""medium"", ""shield""], ""weapons"": [""simple"", ""martial""], ""skills"": [{""choose"": {""from"": [""animal handling"", ""athletics"", ""insight"", ""investigation"", ""nature"", ""perception"", ""stealth"", ""survival""], ""count"": 3}}]}","{""additionalFromBackground"": true, ""default"": [""(a) {@item scale mail|phb} or (b) {@item leather armor|phb}"", ""(a) two {@item shortsword|phb|shortswords} or (b) two {@filter simple melee weapons|items|source=phb|category=basic|type=simple weapon;melee weapon=sand}"", ""(a) a {@item dungeoneer's pack|phb} or (b) an {@item explorer's pack|phb}"", ""A {@item longbow|phb} and a {@item quiver|phb} of {@item arrows (20)|phb|20 arrows}""], ""goldAlternative"": ""{@dice 5d4 × 10|5d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""scale mail|phb""], ""b"": [""leather armor|phb""]}, {""a"": [{""item"": ""shortsword|phb"", ""quantity"": 2}], ""b"": [{""equipmentType"": ""weaponSimpleMelee"", ""quantity"": 2}]}, {""a"": [""dungeoneer's pack|phb""], ""b"": [""explorer's pack|phb""]}, {""_"": [""longbow|phb"", ""arrows (20)|phb""]}]}","[""Favored Enemy|Ranger||1"", ""Favored Foe|Ranger||1|TCE"", ""Natural Explorer|Ranger||1"", ""Deft Explorer|Ranger||1|TCE"", ""Fighting Style|Ranger||2"", ""Spellcasting|Ranger||2"", ""Spellcasting Focus|Ranger||2|TCE"", {""classFeature"": ""Ranger Archetype|Ranger||3"", ""gainSubclassFeature"": true}, ""Primeval Awareness|Ranger||3"", ""Primal Awareness|Ranger||3|TCE"", ""Ability Score Improvement|Ranger||4"", ""Martial Versatility|Ranger||4|TCE"", ""Extra Attack|Ranger||5"", ""Favored Enemy and Natural Explorer improvements|Ranger||6"", ""Deft Explorer Improvement|Ranger||6|TCE"", {""classFeature"": ""Ranger Archetype feature|Ranger||7"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger||8"", ""Land's Stride|Ranger||8"", ""Hide in Plain Sight|Ranger||10"", ""Nature's Veil|Ranger||10|TCE"", ""Natural Explorer improvement|Ranger||10"", ""Deft Explorer Improvement|Ranger||10|TCE"", {""classFeature"": ""Ranger Archetype feature|Ranger||11"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger||12"", ""Vanish|Ranger||14"", ""Favored Enemy improvement|Ranger||14"", {""classFeature"": ""Ranger Archetype feature|Ranger||15"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Ranger||16"", ""Feral Senses|Ranger||18"", ""Ability Score Improvement|Ranger||19"", ""Foe Slayer|Ranger||20""]","{""requirements"": {""dex"": 13, ""wis"": 13}, ""proficienciesGained"": {""armor"": [""light"", ""medium"", ""shield""], ""skills"": [{""choose"": {""from"": [""animal handling"", ""athletics"", ""insight"", ""investigation"", ""nature"", ""perception"", ""stealth"", ""survival""], ""count"": 1}}], ""weapons"": [""simple"", ""martial""]}}"
Warlock,PHB,8,"[""wis"", ""cha""]","{""armor"": [""light""], ""weapons"": [""simple""], ""skills"": [{""choose"": {""from"": [""arcana"", ""deception"", ""history"", ""intimidation"", ""investigation"", ""nature"", ""religion""], ""count"": 2}}]}","{""additionalFromBackground"": true, ""default"": [""(a) a {@item light crossbow|phb} and {@item crossbow bolts (20)|phb|20 bolts} or (b) any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}"", ""(a) a {@item component pouch|phb} or (b) an {@item arcane focus|phb}"", ""(a) a {@item scholar's pack|phb} or (b) a {@item dungeoneer's pack|phb}"", ""{@item Leather armor|phb}, any {@filter simple weapon|items|source=phb|category=basic|type=simple weapon}, and two {@item dagger|phb|daggers}""], ""goldAlternative"": ""{@dice 4d4 × 10|4d4 × 10|Starting Gold}"", ""defaultData"": [{""a"": [""light crossbow|phb"", ""crossbow bolts (20)|phb""], ""b"": [{""equipmentType"": ""weaponSimple""}]}, {""a"": [""component pouch|phb""], ""b"": [{""equipmentType"": ""focusSpellcastingArcane""}]}, {""a"": [""scholar's pack|phb""], ""b"": [""dungeoneer's pack|phb""]}, {""_"": [""leather armor|phb"", {""equipmentType"": ""weaponSimple""}, {""item"": ""dagger|phb"", ""quantity"": 2}]}]}","[""Pact Magic|Warlock||1"", {""classFeature"": ""Otherworldly Patron|Warlock||1"", ""gainSubclassFeature"": true}, ""Eldritch Invocations|Warlock||2"", ""Pact Boon|Warlock||3"", ""Ability Score Improvement|Warlock||4"", ""Eldritch Versatility|Warlock||4|TCE"", {""classFeature"": ""Otherworldly Patron feature|Warlock||6"", ""gainSubclassFeature"": true}, ""Ability Score Improvement|Warlock||8"", {""classFeature"": ""Otherworldly Patron feature|Warlock||10"", ""gainSubclassFeature"": true}, ""Mystic Arcanum (6th level)|Warlock||11"", ""Ability Score Improvement|Warlock||12"", ""Mystic Arcanum (7th level)|Warlock||13"", {""classFeature"": ""Otherworldly Patron feature|Warlock||14"", ""gainSubclassFeature"": true}, ""Mystic Arcanum (8th level)|Warlock||15"", ""Ability Score Improvement|Warlock||16"", ""Mystic Arcanum (9th level)|Warlock||17"", ""Ability Score Improvement|Warlock||19"", ""Eldritch Master|Warlock||20""]","{""requirements"": {""cha"": 13}, ""proficienciesGained"": {""armor"": [""light""], ""weapons"": [""simple""]}}"
