Name,Source,Type,IsBaseItem,Rarity,Weight,Value,RequiresAttunement,Description,Property,Damage,DamageType,ArmorClass
Alchemist's Supplies,PHB,AT,True,none,8,5000,,,,,,
Arrow,PHB,A,True,none,0.05,5,,,,,,
Arrows (20),PHB,A,True,none,1,100,,,,,,
Bagpipes,PHB,INS,True,none,6,3000,,,,,,
Battleaxe,PHB,M,True,none,4,1000,,,"[""V""]",1d8,S,
Blowgun,PHB,R,True,none,1,1000,,,"[""A"", ""LD""]",1,P,
Blowgun Needle,PHB,A,True,none,0.02,2,,,,,,
Blowgun Needles (50),PHB,A,True,none,1,100,,,,,,
Breastplate,PHB,MA,True,none,20,40000,,"[""This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.""]",,,,14
Brewer's Supplies,PHB,AT,True,none,9,2000,,,,,,
Calligrapher's Supplies,PHB,AT,True,none,5,1000,,,,,,
Carpenter's Tools,PHB,AT,True,none,6,800,,,,,,
Cartographer's Tools,PHB,AT,True,none,6,1500,,,,,,
Chain Mail,PHB,HA,True,none,55,7500,,"[""Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.""]",,,,16
Chain Shirt,PHB,MA,True,none,20,5000,,"[""Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.""]",,,,13
Club,PHB,M,True,none,2,10,,,"[""L""]",1d4,B,
Cobbler's Tools,PHB,AT,True,none,5,500,,,,,,
Cook's Utensils,PHB,AT,True,none,8,100,,,,,,
Crossbow Bolt,PHB,A,True,none,0.075,5,,,,,,
Crossbow Bolts (20),PHB,A,True,none,1.5,100,,,,,,
Crystal,PHB,SCF,True,none,1,1000,,,,,,
Dagger,PHB,M,True,none,1,200,,,"[""F"", ""L"", ""T""]",1d4,P,
Dart,PHB,R,True,none,0.25,5,,,"[""F"", ""T""]",1d4,P,
Drum,PHB,INS,True,none,3,600,,,,,,
Dulcimer,PHB,INS,True,none,10,2500,,,,,,
Flail,PHB,M,True,none,2,1000,,,,1d8,B,
Flute,PHB,INS,True,none,1,200,,,,,,
Glaive,PHB,M,True,none,6,2000,,,"[""H"", ""R"", ""2H""]",1d10,S,
Glassblower's Tools,PHB,AT,True,none,5,3000,,,,,,
