ClassName,ClassSource,Level,ProficiencyBonus,SpellSlots,ClassSpecific
Cleric,XPHB,1,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]","{""Channel Divinity"": 0, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 4}"
Cleric,XPHB,2,2,"[3, 0, 0, 0, 0, 0, 0, 0, 0]","{""Channel Divinity"": 2, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 5}"
Cleric,XPHB,3,2,"[4, 2, 0, 0, 0, 0, 0, 0, 0]","{""Channel Divinity"": 2, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 6}"
Cleric,XPHB,4,2,"[4, 3, 0, 0, 0, 0, 0, 0, 0]","{""Channel Divinity"": 2, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 7}"
Cleric,XPHB,5,3,"[4, 3, 2, 0, 0, 0, 0, 0, 0]","{""Channel Divinity"": 2, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 9}"
Cleric,XPHB,6,3,"[4, 3, 3, 0, 0, 0, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 10}"
Cleric,XPHB,7,3,"[4, 3, 3, 1, 0, 0, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 11}"
Cleric,XPHB,8,3,"[4, 3, 3, 2, 0, 0, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 12}"
Cleric,XPHB,9,4,"[4, 3, 3, 3, 1, 0, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 14}"
Cleric,XPHB,10,4,"[4, 3, 3, 3, 2, 0, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 15}"
Cleric,XPHB,11,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 16}"
Cleric,XPHB,12,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 16}"
Cleric,XPHB,13,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 17}"
Cleric,XPHB,14,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 17}"
Cleric,XPHB,15,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 18}"
Cleric,XPHB,16,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 18}"
Cleric,XPHB,17,6,"[4, 3, 3, 3, 2, 1, 1, 1, 1]","{""Channel Divinity"": 3, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 19}"
Cleric,XPHB,18,6,"[4, 3, 3, 3, 3, 1, 1, 1, 1]","{""Channel Divinity"": 4, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 20}"
Cleric,XPHB,19,6,"[4, 3, 3, 3, 3, 2, 1, 1, 1]","{""Channel Divinity"": 4, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 21}"
Cleric,XPHB,20,6,"[4, 3, 3, 3, 3, 2, 2, 1, 1]","{""Channel Divinity"": 4, ""{@filter Cantrips|spells|level=0|class=Cleric}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Cleric}"": 22}"
Barbarian,XPHB,1,2,[],"{""Rages"": ""2"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""2""}"
Barbarian,XPHB,2,2,[],"{""Rages"": ""2"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""2""}"
Barbarian,XPHB,3,2,[],"{""Rages"": ""3"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""2""}"
Barbarian,XPHB,4,2,[],"{""Rages"": ""3"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""3""}"
Barbarian,XPHB,5,3,[],"{""Rages"": ""3"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""3""}"
Barbarian,XPHB,6,3,[],"{""Rages"": ""4"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""3""}"
Barbarian,XPHB,7,3,[],"{""Rages"": ""4"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""3""}"
Barbarian,XPHB,8,3,[],"{""Rages"": ""4"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 2}, ""Weapon Mastery"": ""3""}"
Barbarian,XPHB,9,4,[],"{""Rages"": ""4"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""3""}"
Barbarian,XPHB,10,4,[],"{""Rages"": ""4"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,11,4,[],"{""Rages"": ""4"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,12,4,[],"{""Rages"": ""5"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,13,5,[],"{""Rages"": ""5"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,14,5,[],"{""Rages"": ""5"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,15,5,[],"{""Rages"": ""5"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 3}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,16,5,[],"{""Rages"": ""5"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 4}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,17,6,[],"{""Rages"": ""6"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 4}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,18,6,[],"{""Rages"": ""6"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 4}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,19,6,[],"{""Rages"": ""6"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 4}, ""Weapon Mastery"": ""4""}"
Barbarian,XPHB,20,6,[],"{""Rages"": ""6"", ""Rage Damage"": {""type"": ""bonus"", ""value"": 4}, ""Weapon Mastery"": ""4""}"
Sorcerer,XPHB,1,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]","{""Sorcery Points"": 0, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 2}"
