Name,Source,ClassName,ClassSource,Level,Description
Divine Order,XPHB,Cleric,XPHB,1,"[""You have dedicated yourself to one of the following sacred roles of your choice."", {""type"": ""entries"", ""entries"": [{""type"": ""options"", ""count"": 1, ""entries"": [{""type"": ""refClassFeature"", ""classFeature"": ""Protector|Cleric|XPHB|1|XPHB""}, {""type"": ""refClassFeature"", ""classFeature"": ""Thaumaturge|Cleric|XPHB|1|XPHB""}]}]}]"
Protector,XPHB,Cleric,XPHB,1,"[""Trained for battle, you gain proficiency with {@filter Martial weapons|items|type=martial weapon} and training with {@filter Heavy armor|items|type=Heavy Armor}.""]"
Spellcasting,XPHB,Cleric,XPHB,1,"[""You have learned to cast spells through prayer and meditation. See {@book chapter 7|XPHB|7} for the rules on spellcasting. The information below details how you use those rules with Cleric spells, which appear on the {@filter Cleric spell list|spells|class=Cleric} later in the class's description."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""You know three cantrips of your choice from the {@filter Cleric spell list|spells|class=Cleric}. {@spell Guidance|XPHB}, {@spell Sacred Flame|XPHB}, and {@spell Thaumaturgy|XPHB} are recommended."", ""Whenever you gain a Cleric level, you can replace one of your cantrips with another cantrip of your choice from the {@filter Cleric spell list|spells|class=Cleric}."", ""When you reach Cleric levels 4 and 10, you learn another cantrip of your choice from the {@filter Cleric spell list|spells|class=Cleric}, as shown in the Cantrips column of the Cleric Features table.""]}, {""type"": ""entries"", ""name"": ""Spell Slots"", ""entries"": [""The Cleric Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a {@variantrule Long Rest|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Prepared Spells of Level 1+"", ""entries"": [""You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the {@filter Cleric spell list|spells|class=Cleric}. {@spell Bless|XPHB}, {@spell Cure Wounds|XPHB}, {@spell Guiding Bolt|XPHB}, and {@spell Shield of Faith|XPHB} are recommended."", ""The number of spells on your list increases as you gain Cleric levels, as shown in the Prepared Spells column of the Cleric Features table. Whenever that number increases, choose additional spells from the {@filter Cleric spell list|spells|class=Cleric} until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Cleric, your list of prepared spells can include six spells of levels 1 and 2 in any combination."", ""If another Cleric feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Cleric spells for you.""]}, {""type"": ""entries"", ""name"": ""Changing Your Prepared Spells"", ""entries"": [""Whenever you finish a {@variantrule Long Rest|XPHB}, you can change your list of prepared spells, replacing any of the spells there with other Cleric spells for which you have spell slots.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Wisdom is your spellcasting ability for your Cleric spells.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use a {@item Holy Symbol|XPHB} as a {@variantrule Spellcasting Focus|XPHB} for your Cleric spells.""]}]}]"
Thaumaturge,XPHB,Cleric,XPHB,1,"[""You know one extra cantrip from the {@filter Cleric spell list|spells|class=Cleric}. In addition, your mystical connection to the divine gives you a bonus to your Intelligence ({@skill Arcana|XPHB} or {@skill Religion|XPHB}) checks. The bonus equals your Wisdom modifier (minimum of +1).""]"
Channel Divinity,XPHB,Cleric,XPHB,2,"[""You can channel divine energy directly from the Outer Planes to fuel magical effects. You start with two such effects: Divine Spark and Turn Undead, each of which is described below. Each time you use this class's Channel Divinity, choose which Channel Divinity effect from this class to create. You gain additional effect options at higher Cleric levels."", ""You can use this class's Channel Divinity twice. You regain one of its expended uses when you finish a {@variantrule Short Rest|XPHB}, and you regain all expended uses when you finish a {@variantrule Long Rest|XPHB}. You gain additional uses when you reach certain Cleric levels, as shown in the Channel Divinity column of the Cleric Features table."", ""If a Channel Divinity effect requires a saving throw, the DC equals the spell save DC from this class's Spellcasting feature."", {""type"": ""entries"", ""entries"": [{""type"": ""refClassFeature"", ""classFeature"": ""Divine Spark|Cleric|XPHB|2|XPHB""}, {""type"": ""refClassFeature"", ""classFeature"": ""Turn Undead|Cleric|XPHB|2|XPHB""}]}]"
Divine Spark,XPHB,Cleric,XPHB,2,"[""As a {@action Magic|XPHB} action, you point your {@item Holy Symbol|XPHB} at another creature you can see within 30 feet of yourself and focus divine energy at it. Roll {@dice 1d8} and add your Wisdom modifier. You either restore {@variantrule Hit Points|XPHB} to the creature equal to that total or force the creature to make a Constitution saving throw. On a failed save, the creature takes Necrotic or Radiant damage (your choice) equal to that total. On a successful save, the creature takes half as much damage (round down)."", ""You roll an additional {@dice d8} when you reach Cleric levels 7 ({@dice 2d8}), 13 ({@dice 3d8}), and 18 ({@dice 4d8}).""]"
Turn Undead,XPHB,Cleric,XPHB,2,"[""As a {@action Magic|XPHB} action, you present your {@item Holy Symbol|XPHB} and censure Undead creatures. Each Undead of your choice within 30 feet of you must make a Wisdom saving throw. If the creature fails its save, it has the {@condition Frightened|XPHB} and {@condition Incapacitated|XPHB} conditions for 1 minute. For that duration, it tries to move as far from you as it can on its turns. This effect ends early on the creature if it takes any damage, if you have the {@condition Incapacitated|XPHB} condition, or if you die.""]"
Cleric Subclass,XPHB,Cleric,XPHB,3,"[""You gain a Cleric subclass of your choice. A subclass is a specialization that grants you features at certain Cleric levels. For the rest of your career, you gain each of your subclass's features that are of your Cleric level or lower.""]"
Ability Score Improvement,XPHB,Cleric,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Cleric levels 8, 12, and 16.""]"
Sear Undead,XPHB,Cleric,XPHB,5,"[""Whenever you use Turn Undead, you can roll a number of d8s equal to your Wisdom modifier (minimum of {@dice 1d8}) and add the rolls together. Each Undead that fails its saving throw against that use of Turn Undead takes Radiant damage equal to the roll's total. This damage doesn't end the turn effect.""]"
Subclass Feature,XPHB,Cleric,XPHB,6,"[""You gain a feature from your Cleric Subclass.""]"
Blessed Strikes,XPHB,Cleric,XPHB,7,"[""Divine power infuses you in battle. You gain one of the following options of your choice (if you get either option from a Cleric subclass in an older book, use only the option you choose for this feature)."", {""type"": ""entries"", ""entries"": [{""type"": ""refClassFeature"", ""classFeature"": ""Divine Strike|Cleric|XPHB|7""}, {""type"": ""refClassFeature"", ""classFeature"": ""Potent Spellcasting|Cleric|XPHB|7""}]}]"
Divine Strike,XPHB,Cleric,XPHB,7,"[""Once on each of your turns when you hit a creature with an attack roll using a weapon, you can cause the target to take an extra {@damage 1d8} Necrotic or Radiant damage (your choice).""]"
Potent Spellcasting,XPHB,Cleric,XPHB,7,"[""Add your Wisdom modifier to the damage you deal with any Cleric cantrip.""]"
Ability Score Improvement,XPHB,Cleric,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Divine Intervention,XPHB,Cleric,XPHB,10,"[""You can call on your deity or pantheon to intervene on your behalf. As a {@action Magic|XPHB} action, choose any Cleric spell of level 5 or lower that doesn't require a {@variantrule Reaction|XPHB} to cast. As part of the same action, you cast that spell without expending a spell slot or needing Material components. You can't use this feature again until you finish a {@variantrule Long Rest|XPHB}.""]"
Ability Score Improvement,XPHB,Cleric,XPHB,12,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Improved Blessed Strikes,XPHB,Cleric,XPHB,14,"[""The option you chose for Blessed Strikes grows more powerful."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Divine Strike"", ""entries"": [""The extra damage of your Divine Strike increases to {@damage 2d8}.""]}, {""type"": ""entries"", ""name"": ""Potent Spellcasting"", ""entries"": [""When you cast a Cleric cantrip and deal damage to a creature with it, you can give vitality to yourself or another creature within 60 feet of yourself, granting a number of {@variantrule Temporary Hit Points|XPHB} equal to twice your Wisdom modifier.""]}]}]"
Ability Score Improvement,XPHB,Cleric,XPHB,16,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Cleric,XPHB,17,"[""You gain a feature from your Cleric Subclass.""]"
Epic Boon,XPHB,Cleric,XPHB,19,"[""You gain an {@filter Epic Boon feat|feats|category=EB} or another {@5etools feat|feats.html} of your choice for which you qualify. {@feat Boon of Fate|XPHB} is recommended.""]"
Greater Divine Intervention,XPHB,Cleric,XPHB,20,"[""You can call on even more powerful divine intervention. When you use your Divine Intervention feature, you can choose {@spell Wish|XPHB} when you select a spell. If you do so, you can't use Divine Intervention again until you finish {@dice 2d4} Long Rests.""]"
