Name,Source,Category,Prerequisite,Description
Ability Score Improvement,XPHB,G,"[{""level"": 4}]","[""Increase one ability score of your choice by 2, or increase two ability scores of your choice by 1. This feat can't increase an ability score above 20."", {""type"": ""entries"", ""name"": ""Repeatable"", ""entries"": [""You can take this feat more than once.""]}]"
Alert,XPHB,O,,"[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Initiative Proficiency"", ""entries"": [""When you roll {@variantrule Initiative|XPHB}, you can add your {@variantrule Proficiency|XPHB|Proficiency Bonus} to the roll.""]}, {""type"": ""entries"", ""name"": ""Initiative Swap"", ""entries"": [""Immediately after you roll {@variantrule Initiative|XPHB}, you can swap your {@variantrule Initiative|XPHB} with the {@variantrule Initiative|XPHB} of one willing ally in the same combat. You can't make this swap if you or the ally has the {@condition Incapacitated|XPHB} condition.""]}]"
Archery,XPHB,FS,"[{""feature"": [""Fighting Style""]}]","[""You gain a +2 bonus to attack rolls you make with Ranged weapons.""]"
Boon of Combat Prowess,XPHB,EB,"[{""level"": 19}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Peerless Aim"", ""entries"": [""When you miss with an attack roll, you can hit instead. Once you use this benefit, you can't use it again until the start of your next turn.""]}]"
Boon of Dimensional Travel,XPHB,EB,"[{""level"": 19}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Blink Steps"", ""entries"": [""Immediately after you take the {@action Attack|XPHB} action or the {@action Magic|XPHB} action, you can teleport up to 30 feet to an unoccupied space you can see.""]}]"
Boon of Fate,XPHB,EB,"[{""level"": 19}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Improve Fate"", ""entries"": [""When you or another creature within 60 feet of you succeeds on or fails a {@variantrule D20 Test|XPHB}, you can roll {@dice 2d4} and apply the total rolled as a bonus or penalty to the {@dice d20} roll. Once you use this benefit, you can't use it again until you roll {@variantrule Initiative|XPHB} or finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}.""]}]"
Boon of Irresistible Offense,XPHB,EB,"[{""level"": 19}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Overcome Defenses"", ""entries"": [""The Bludgeoning, Piercing, and Slashing damage you deal always ignores {@variantrule Resistance|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Overwhelming Strike"", ""entries"": [""When you roll a 20 on the {@dice d20} for an attack roll, you can deal extra damage to the target equal to the ability score increased by this feat. The extra damage's type is the same as the attack's type.""]}]"
Boon of Spell Recall,XPHB,EB,"[{""level"": 19, ""spellcasting2020"": true}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Free Casting"", ""entries"": [""Whenever you cast a spell with a level 1-4 spell slot, roll {@dice 1d4}. If the number you roll is the same as the slot's level, the slot isn't expended.""]}]"
Boon of the Night Spirit,XPHB,EB,"[{""level"": 19}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Merge with Shadows"", ""entries"": [""While within {@variantrule Dim Light|XPHB} or {@variantrule Darkness|XPHB}, you can give yourself the {@condition Invisible|XPHB} condition as a {@variantrule Bonus Action|XPHB}. The condition ends on you immediately after you take an action, a {@variantrule Bonus Action|XPHB}, or a {@variantrule Reaction|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Shadowy Form"", ""entries"": [""While within {@variantrule Dim Light|XPHB} or {@variantrule Darkness|XPHB}, you have {@variantrule Resistance|XPHB} to all damage except Psychic and Radiant.""]}]"
Boon of Truesight,XPHB,EB,"[{""level"": 19}]","[""You gain the following benefits."", {""type"": ""entries"", ""name"": ""Truesight"", ""entries"": [""You have {@sense Truesight|XPHB} with a range of 60 feet.""]}]"
