Name,Source,FeatureType,Prerequisite,Description
Agonizing Blast,XPHB,"[""EI""]","[{""spell"": [{""choose"": ""level=0|class=Warlock"", ""entry"": ""a Warlock Cantrip That Deals Damage"", ""entrySummary"": ""Warlock Cantrip That Deals Damage""}], ""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""Choose one of your known {@filter Warlock cantrips|spells|level=0|class=Warlock|damage type=acid;bludgeoning;cold;fire;force;lightning;necrotic;piercing;poison;psychic;radiant;slashing;thunder} that deals damage. You can add your Charisma modifier to that spell's damage rolls."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Repeatable"", ""entries"": [""You can gain this invocation more than once. Each time you do so, choose a different eligible cantrip.""]}]}]"
Armor of Shadows,XPHB,"[""EI""]",,"[""You can cast {@spell Mage Armor|XPHB} on yourself without expending a spell slot.""]"
Ascendant Step,XPHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Levitate|XPHB} on yourself without expending a spell slot.""]"
Careful Spell,XPHB,"[""MM""]",,"[""When you cast a spell that forces other creatures to make a saving throw, you can protect some of those creatures from the spell's full force. To do so, spend 1 Sorcery Point and choose a number of those creatures up to your Charisma modifier (minimum of one creature). A chosen creature automatically succeeds on its saving throw against the spell, and it takes no damage if it would normally take half damage on a successful save.""]"
Devil's Sight,XPHB,"[""EI""]","[{""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can see normally in {@variantrule Dim Light|XPHB} and {@variantrule Darkness|XPHB}—both magical and nonmagical—within 120 feet of yourself.""]"
Distant Spell,XPHB,"[""MM""]",,"[""When you cast a spell that has a range of at least 5 feet, you can spend 1 Sorcery Point to double the spell's range. Or when you cast a spell that has a range of Touch, you can spend 1 Sorcery Point to make the spell's range 30 feet.""]"
Eldritch Spear,XPHB,"[""EI""]","[{""spell"": [{""choose"": ""level=0|class=Warlock"", ""entry"": ""a Warlock Cantrip That Deals Damage"", ""entrySummary"": ""Warlock Cantrip That Deals Damage""}], ""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""Choose one of your known {@filter Warlock cantrips|spells|level=0|class=Warlock|damage type=acid;bludgeoning;cold;fire;force;lightning;necrotic;piercing;poison;psychic;radiant;slashing;thunder|range=point} that deals damage and has a range of 10+ feet. When you cast that spell, its range increases by a number of feet equal to 30 times your Warlock level."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Repeatable"", ""entries"": [""You can gain this invocation more than once. Each time you do so, choose a different eligible cantrip.""]}]}]"
Empowered Spell,XPHB,"[""MM""]",,"[""When you roll damage for a spell, you can spend 1 Sorcery Point to reroll a number of the damage dice up to your Charisma modifier (minimum of one), and you must use the new rolls."", ""You can use Empowered Spell even if you've already used a different Metamagic option during the casting of the spell.""]"
Extended Spell,XPHB,"[""MM""]",,"[""When you cast a spell that has a duration of 1 minute or longer, you can spend 1 Sorcery Point to double its duration to a maximum duration of 24 hours."", ""If the affected spell requires {@status Concentration|XPHB}, you have {@variantrule Advantage|XPHB} on any saving throw you make to maintain that {@status Concentration|XPHB}.""]"
Fiendish Vigor,XPHB,"[""EI""]","[{""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell False Life|XPHB} on yourself without expending a spell slot. When you cast the spell with this feature, you don't roll the die for the {@variantrule Temporary Hit Points|XPHB}; you automatically get the highest number on the die.""]"
Gaze of Two Minds,XPHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can use a {@variantrule Bonus Action|XPHB} to touch a willing creature and perceive through its senses until the end of your next turn. As long as the creature is on the same plane of existence as you, you can take a {@variantrule Bonus Action|XPHB} on subsequent turns to maintain this connection, extending the duration until the end of your next turn. The connection ends if you don't maintain it in this way."", ""While perceiving through the other creature's senses, you benefit from any special senses possessed by that creature, and you can cast spells as if you were in your space or the other creature's space if the two of you are within 60 feet of each other.""]"
Heightened Spell,XPHB,"[""MM""]",,"[""When you cast a spell that forces a creature to make a saving throw, you can spend 2 Sorcery Points to give one target of the spell {@variantrule Disadvantage|XPHB} on saves against the spell.""]"
Lifedrinker,XPHB,"[""EI""]","[{""level"": {""level"": 9, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}, ""optionalfeature"": [""pact of the blade|xphb""]}]","[""Once per turn when you hit a creature with your pact weapon, you can deal an extra {@damage 1d6} Necrotic, Psychic, or Radiant damage (your choice) to the creature, and you can expend one of your {@variantrule Hit Point Dice|XPHB} to roll it and regain a number of {@variantrule Hit Points|XPHB} equal to the roll plus your Constitution modifier (minimum of 1 {@variantrule Hit Points|XPHB|Hit Point}).""]"
Mask of Many Faces,XPHB,"[""EI""]","[{""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Disguise Self|XPHB} without expending a spell slot.""]"
Master of Myriad Forms,XPHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Alter Self|XPHB} without expending a spell slot.""]"
Misty Visions,XPHB,"[""EI""]","[{""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Silent Image|XPHB} without expending a spell slot.""]"
One with Shadows,XPHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""While you're in an area of {@variantrule Dim Light|XPHB} or {@variantrule Darkness|XPHB}, you can cast {@spell Invisibility|XPHB} on yourself without expending a spell slot.""]"
