Name,Source,ClassName,ClassSource,SubclassShortName,SubclassSource,Level,Description
Life Domain,XPHB,Cleric,XPHB,Life,XPHB,3,"[""{@i Soothe the Hurts of the World}"", ""The Life Domain focuses on the positive energy that helps sustain all life in the multiverse. Clerics who tap into this domain are masters of healing, using that life force to cure many hurts."", ""Existence itself relies on the positive energy associated with this domain, so a Cleric of almost any religious tradition might choose it. This domain is particularly associated with agricultural deities, gods of healing or endurance, and gods of home and community. Religious orders of healing also seek the magic of this domain."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Life Domain Spells|Cleric|XPHB|Life|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Disciple of Life|Cleric|XPHB|Life|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Preserve Life|Cleric|XPHB|Life|XPHB|3""}]"
Disciple of Life,XPHB,Cleric,XPHB,Life,XPHB,3,"[""When a spell you cast with a spell slot restores {@variantrule Hit Points|XPHB} to a creature, that creature regains additional {@variantrule Hit Points|XPHB} on the turn you cast the spell. The additional {@variantrule Hit Points|XPHB} equal 2 plus the spell slot's level.""]"
Life Domain Spells,XPHB,Cleric,XPHB,Life,XPHB,3,"[""Your connection to this divine domain ensures you always have certain spells ready. When you reach a Cleric level specified in the Life Domain Spells table, you thereafter always have the listed spells prepared."", {""type"": ""table"", ""caption"": ""Life Domain Spells"", ""colLabels"": [""Cleric Level"", ""Prepared Spells""], ""colStyles"": [""col-1 text-center"", ""col-11""], ""rows"": [[""3rd"", ""{@spell Aid|XPHB}, {@spell Bless|XPHB}, {@spell Cure Wounds|XPHB}, {@spell Lesser Restoration|XPHB}""], [""5th"", ""{@spell Mass Healing Word|XPHB}, {@spell Revivify|XPHB}""], [""7th"", ""{@spell Aura of Life|XPHB}, {@spell Death Ward|XPHB}""], [""9th"", ""{@spell Greater Restoration|XPHB}, {@spell Mass Cure Wounds|XPHB}""]]}]"
Preserve Life,XPHB,Cleric,XPHB,Life,XPHB,3,"[""As a {@action Magic|XPHB} action, you present your {@item Holy Symbol|XPHB} and expend a use of your Channel Divinity to evoke healing energy that can restore a number of {@variantrule Hit Points|XPHB} equal to five times your Cleric level. Choose {@status Bloodied|XPHB} creatures within 30 feet of yourself (which can include you), and divide those {@variantrule Hit Points|XPHB} among them. This feature can restore a creature to no more than half its {@variantrule Hit Points|XPHB|Hit Point} maximum.""]"
Blessed Healer,XPHB,Cleric,XPHB,Life,XPHB,6,"[""The healing spells you cast on others heal you as well. Immediately after you cast a spell with a spell slot that restores {@variantrule Hit Points|XPHB} to one creature other than you, you regain {@variantrule Hit Points|XPHB} equal to 2 plus the spell slot's level.""]"
Supreme Healing,XPHB,Cleric,XPHB,Life,XPHB,17,"[""When you would normally roll one or more dice to restore {@variantrule Hit Points|XPHB} to a creature with a spell or Channel Divinity, don't roll those dice for the healing; instead use the highest number possible for each die. For example, instead of restoring {@dice 2d6} {@variantrule Hit Points|XPHB} to a creature with a spell, you restore 12.""]"
Path of the Berserker,XPHB,Barbarian,XPHB,Berserker,XPHB,3,"[""{@i Channel Rage into Violent Fury}"", ""Barbarians who walk the Path of the Berserker direct their Rage primarily toward violence. Their path is one of untrammeled fury, and they thrill in the chaos of battle as they allow their Rage to seize and empower them."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Frenzy|Barbarian|XPHB|Berserker|XPHB|3""}]"
Frenzy,XPHB,Barbarian,XPHB,Berserker,XPHB,3,"[""If you use Reckless Attack while your Rage is active, you deal extra damage to the first target you hit on your turn with a Strength-based attack. To determine the extra damage, roll a number of d6s equal to your Rage Damage bonus, and add them together. The damage has the same type as the weapon or {@variantrule Unarmed Strike|XPHB} used for the attack.""]"
Mindless Rage,XPHB,Barbarian,XPHB,Berserker,XPHB,6,"[""You have {@variantrule Immunity|XPHB} to the {@condition Charmed|XPHB} and {@condition Frightened|XPHB} conditions while your Rage is active. If you're {@condition Charmed|XPHB} or {@condition Frightened|XPHB} when you enter your Rage, the condition ends on you.""]"
Retaliation,XPHB,Barbarian,XPHB,Berserker,XPHB,10,"[""When you take damage from a creature that is within 5 feet of you, you can take a {@variantrule Reaction|XPHB} to make one melee attack against that creature, using a weapon or an {@variantrule Unarmed Strike|XPHB}.""]"
